Reproduction, 	 Crossover, 	 Mutation, 	 Sigma, 	 Earliest, 	 Average (.25), 	 Standard Deviation (.25), 	 Average (.1), 	 Standard Deviation (.1) 
0, 	 70, 	 5, 	 1, 	 5, 	 22.4, 	 16.329115101560156, 	31.8, 	18.946239732464065
0, 	 70, 	 5, 	 2, 	 2, 	 14.4, 	 15.094369811290568, 	28.2, 	17.904189453868053
0, 	 70, 	 5, 	 3, 	 10, 	 21.6, 	 14.402777509911065, 	31.4, 	9.850888284819801
0, 	 70, 	 5, 	 4, 	 7, 	 20.6, 	 14.051334456200237, 	36.4, 	10.910545357588685
0, 	 70, 	 5, 	 5, 	 10, 	 19.6, 	 5.817215828899594, 	33.8, 	10.684568311354464
0, 	 70, 	 10, 	 1, 	 7, 	 12.6, 	 4.6303347611160905, 	30.8, 	14.496896219536097
0, 	 70, 	 10, 	 2, 	 8, 	 16, 	 9.757048734120374, 	28.4, 	15.43502510525979
0, 	 70, 	 10, 	 3, 	 5, 	 9, 	 3.3466401061363023, 	24.2, 	14.372195378577345
0, 	 70, 	 10, 	 4, 	 4, 	 19, 	 9.979979959899719, 	26.8, 	12.607934009979589
0, 	 70, 	 10, 	 5, 	 3, 	 9.4, 	 6.529931086925803, 	17, 	8.12403840463596
0, 	 70, 	 15, 	 1, 	 4, 	 17.2, 	 16.90443728729235, 	23.6, 	15.730225681788548
0, 	 70, 	 15, 	 2, 	 5, 	 16.4, 	 14.595889832415152, 	26.8, 	15.866946776238963
0, 	 70, 	 15, 	 3, 	 9, 	 16.6, 	 7.657675887630659, 	31.2, 	14.232357499725756
0, 	 70, 	 15, 	 4, 	 5, 	 15.2, 	 9.765244492586962, 	31.2, 	12.560254774486067
0, 	 70, 	 15, 	 5, 	 4, 	 16.6, 	 12.142487389328432, 	21.8, 	10.979981785048643
0, 	 76, 	 5, 	 1, 	 9, 	 19.6, 	 11.01998185116473, 	34, 	11.865917579353061
0, 	 76, 	 5, 	 2, 	 7, 	 20, 	 10.807404868885037, 	28.4, 	10.326664514740468
0, 	 76, 	 5, 	 3, 	 4, 	 11.6, 	 7.525955088890711, 	20.4, 	11.48216007552586
0, 	 76, 	 5, 	 4, 	 8, 	 11.4, 	 2.6532998322843198, 	20.4, 	11.11035552986492
0, 	 76, 	 5, 	 5, 	 9, 	 11.6, 	 1.624807680927192, 	30.4, 	10.781465577554844
0, 	 76, 	 10, 	 1, 	 7, 	 15.4, 	 10.150862032359617, 	35, 	18.373894524569362
0, 	 76, 	 10, 	 2, 	 4, 	 7.6, 	 3.6110940170535577, 	17.2, 	13.775340286178052
0, 	 76, 	 10, 	 3, 	 4, 	 7.4, 	 3.0066592756745814, 	12.4, 	4.029888335921977
0, 	 76, 	 10, 	 4, 	 8, 	 19.2, 	 13.934130758680285, 	31.4, 	15.14727698300919
0, 	 76, 	 10, 	 5, 	 4, 	 11, 	 5.329165037789691, 	25, 	15.336231610144651
0, 	 76, 	 15, 	 1, 	 3, 	 8.6, 	 4.841487374764082, 	29, 	18.750999973334757
0, 	 76, 	 15, 	 2, 	 3, 	 13.2, 	 7.35934779718964, 	27.8, 	12.734205903785284
0, 	 76, 	 15, 	 3, 	 3, 	 17.4, 	 12.191800523302536, 	26, 	12.696456198483101
0, 	 76, 	 15, 	 4, 	 7, 	 10, 	 2.6076809620810595, 	22.4, 	13.879481258317979
0, 	 76, 	 15, 	 5, 	 6, 	 10, 	 2.756809750418044, 	18.6, 	5.462600113499065
0, 	 82, 	 5, 	 1, 	 6, 	 33.4, 	 17.79438113562818, 	41.8, 	16.400000000000002
0, 	 82, 	 5, 	 2, 	 0, 	 7.6, 	 4.409081537009721, 	22.6, 	14.582180906846547
0, 	 82, 	 5, 	 3, 	 6, 	 15.2, 	 11.7881296226331, 	29.2, 	15.992498241363043
0, 	 82, 	 5, 	 4, 	 7, 	 20.2, 	 16.216041440499588, 	35.8, 	13.059862173851606
0, 	 82, 	 5, 	 5, 	 5, 	 13.6, 	 10.403845442911962, 	20.8, 	14.878171930717834
0, 	 82, 	 10, 	 1, 	 5, 	 15.4, 	 14.677874505527019, 	26.8, 	14.551975810864999
0, 	 82, 	 10, 	 2, 	 6, 	 13.4, 	 8.064738061462382, 	30.2, 	15.328405005087777
0, 	 82, 	 10, 	 3, 	 6, 	 19, 	 17.064583206161235, 	25.4, 	15.396103403134184
0, 	 82, 	 10, 	 4, 	 3, 	 6.6, 	 2.939387691339814, 	11.4, 	3.7735924528226414
0, 	 82, 	 10, 	 5, 	 8, 	 19.6, 	 14.568459081179451, 	27.6, 	11.84229707446997
0, 	 82, 	 15, 	 1, 	 5, 	 12.8, 	 8.109253973085318, 	26.6, 	12.90891165048394
0, 	 82, 	 15, 	 2, 	 0, 	 9, 	 6.0, 	19, 	16.816658407662327
0, 	 82, 	 15, 	 3, 	 4, 	 11.2, 	 7.35934779718964, 	20, 	12.696456198483101
0, 	 82, 	 15, 	 4, 	 10, 	 12.8, 	 3.249615361854384, 	27.6, 	10.36532681587995
0, 	 82, 	 15, 	 5, 	 6, 	 18.4, 	 15.982490419205638, 	23.8, 	14.076931483814219
0, 	 88, 	 5, 	 1, 	 6, 	 8.6, 	 1.8547236990991407, 	33.6, 	14.974645237867907
0, 	 88, 	 5, 	 2, 	 8, 	 20.4, 	 15.21315220458929, 	42.4, 	15.200000000000001
0, 	 88, 	 5, 	 3, 	 9, 	 14, 	 8.532291603080617, 	36, 	12.915107432770352
0, 	 88, 	 5, 	 4, 	 4, 	 6.4, 	 2.870540018881465, 	22.4, 	14.813507349712964
0, 	 88, 	 5, 	 5, 	 8, 	 10.8, 	 1.9390719429665317, 	16, 	3.03315017762062
0, 	 88, 	 10, 	 1, 	 4, 	 18, 	 17.58408371226661, 	31.8, 	16.54569430395715
0, 	 88, 	 10, 	 2, 	 7, 	 10.8, 	 2.85657137141714, 	18.2, 	9.239047569960878
0, 	 88, 	 10, 	 3, 	 2, 	 10.2, 	 5.5641710972974225, 	20, 	15.658863304850707
0, 	 88, 	 10, 	 4, 	 3, 	 14.6, 	 9.666436778875658, 	27.8, 	15.367498169838838
0, 	 88, 	 10, 	 5, 	 3, 	 7.6, 	 3.2, 	27.6, 	12.208193969625482
0, 	 88, 	 15, 	 1, 	 4, 	 18.6, 	 16.560193235587562, 	38.8, 	15.380507143784303
0, 	 88, 	 15, 	 2, 	 5, 	 15.6, 	 17.32743489383238, 	31.4, 	17.29277305697383
0, 	 88, 	 15, 	 3, 	 5, 	 11.6, 	 9.748846085563152, 	21.2, 	14.538225476308998
0, 	 88, 	 15, 	 4, 	 5, 	 12.8, 	 11.88949115816148, 	20.2, 	16.749925372968082
0, 	 88, 	 15, 	 5, 	 3, 	 11.8, 	 11.72006825918689, 	18.6, 	15.831613941730641
0, 	 94, 	 5, 	 1, 	 5, 	 7, 	 1.7888543819998317, 	31, 	17.1697408250678
0, 	 94, 	 5, 	 2, 	 5, 	 17.2, 	 16.726027621644057, 	34.2, 	19.374209661299737
0, 	 94, 	 5, 	 3, 	 5, 	 21, 	 19.172897537930986, 	23.4, 	21.322288807724185
