Location of individuals used to make this generation:
Seed: 1656620765


Current Gen, Parent 1, Parent 2, Operator
 1, 19, NA, Reproduction
 2,  7, NA, Reproduction
 3, 37, NA, Reproduction
 4, 13, 25, Crossover
 5, 13, 25, Crossover
 6, 28, 36, Crossover
 7, 28, 36, Crossover
 8, 11,  4, Crossover
 9, 11,  4, Crossover
10, 18, 14, Crossover
11, 18, 14, Crossover
12, 13, 26, Crossover
13, 13, 26, Crossover
14, 13,  5, Crossover
15, 13,  5, Crossover
16, 36,  9, Crossover
17, 36,  9, Crossover
18, 28,  1, Crossover
19, 28,  1, Crossover
20, 41, 18, Crossover
21, 41, 18, Crossover
22,  7, 26, Crossover
23,  7, 26, Crossover
24, 27, 28, Crossover
25, 27, 28, Crossover
26, 32,  4, Crossover
27, 32,  4, Crossover
28, 29, 18, Crossover
29, 29, 18, Crossover
30,  7,  4, Crossover
31,  7,  4, Crossover
32, 18, 29, Crossover
33, 18, 29, Crossover
34, 36, 21, Crossover
35, 36, 21, Crossover
36, 29,  9, Crossover
37, 29,  9, Crossover
38, 11, 43, Crossover
39, 11, 43, Crossover
40, NA, NA, Immigration
41, NA, NA, Immigration
42, NA, NA, Immigration
43, NA, NA, Immigration
44, NA, NA, Immigration
45, NA, NA, Immigration
46, NA, NA, Immigration
47, NA, NA, Immigration
48, NA, NA, Immigration
49, NA, NA, Immigration
50, NA, NA, Immigration
