Location of individuals used to make this generation:
Seed: 1676582372


Current Gen, Parent 1, Parent 2, Operator
 1, 86, 78, Crossover
 2, 86, 78, Crossover
 3, 97, 61, Crossover
 4, 97, 61, Crossover
 5, 22, 12, Crossover
 6, 22, 12, Crossover
 7, 32, 13, Crossover
 8, 32, 13, Crossover
 9, 97, 25, Crossover
10, 97, 25, Crossover
11, 92, 41, Crossover
12, 92, 41, Crossover
13, 54, 33, Crossover
14, 54, 33, Crossover
15, 47, 44, Crossover
16, 47, 44, Crossover
17, 14, 15, Crossover
18, 14, 15, Crossover
19, 11, 64, Crossover
20, 11, 64, Crossover
21,  2, 32, Crossover
22,  2, 32, Crossover
23, 65, 54, Crossover
24, 65, 54, Crossover
25, 70, 41, Crossover
26, 70, 41, Crossover
27, 70,  2, Crossover
28, 70,  2, Crossover
29, 28, 23, Crossover
30, 28, 23, Crossover
31, 34, 54, Crossover
32, 34, 54, Crossover
33, 33, 33, Crossover
34, 33, 33, Crossover
35, 67, 23, Crossover
36, 67, 23, Crossover
37, 84, 69, Crossover
38, 84, 69, Crossover
39, 23, 73, Crossover
40, 23, 73, Crossover
41, 60, 33, Crossover
42, 60, 33, Crossover
43, 36, 11, Crossover
44, 36, 11, Crossover
45, 34, 45, Crossover
46, 34, 45, Crossover
47, 89, 71, Crossover
48, 89, 71, Crossover
49, 73, 54, Crossover
50, 73, 54, Crossover
51, 79, 81, Crossover
52, 79, 81, Crossover
53, 35, 47, Crossover
54, 35, 47, Crossover
55, 54, 13, Crossover
56, 54, 13, Crossover
57,  6, 86, Crossover
58,  6, 86, Crossover
59,  3, 61, Crossover
60,  3, 61, Crossover
61, 45, 14, Crossover
62, 45, 14, Crossover
63, 82, 44, Crossover
64, 82, 44, Crossover
65, 73, 54, Crossover
66, 73, 54, Crossover
67, 27, 61, Crossover
68, 27, 61, Crossover
69, 59, 35, Crossover
70, 59, 35, Crossover
71, 99, 25, Crossover
72, 99, 25, Crossover
73, 42, 34, Crossover
74, 42, 34, Crossover
75, 23, 67, Crossover
76, 23, 67, Crossover
77, 67, 61, Crossover
78, 67, 61, Crossover
79, 56, 87, Crossover
80, 56, 87, Crossover
81, 70, 62, Crossover
82, 70, 62, Crossover
83, 54, 65, Crossover
84, 54, 65, Crossover
85, 84, 41, Crossover
86, 84, 41, Crossover
87, 41, 69, Crossover
88, 41, 69, Crossover
89, 81, 73, Crossover
90, 81, 73, Crossover
91, 29, 77, Crossover
92, 29, 77, Crossover
93, 74, 73, Crossover
94, 74, 73, Crossover
95, 37, 48, Crossover
96, 37, 48, Crossover
97, 68, 41, Crossover
98, 68, 41, Crossover
99, 42, 66, Crossover
100, 42, 66, Crossover
